what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1711619400034
java.vm.info,sysinfo,,,"mixed mode",1711619400034
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1711619400034
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1711619400034
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1711619400034
java.vm.specification.version,sysinfo,,,"1.0",1711619400034
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1711619400034
java.vm.version,sysinfo,,,"19.0-b09",1711619400034
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1711619400347
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1711619400409
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1711619400534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619400941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619407243
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1711619407993
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1711619410190
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1711619410378
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1711619410393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619415392
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711619415907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619426642
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711619429220
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1711619429267
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711619440282
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1711619442110
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1711619442157
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1711619442157
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1711619442173
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1711619442220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619484969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619567293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619568784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619600123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619607173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619616001
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711619617798
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711619628641
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711619629329
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711619648243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711619732490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620261780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620275030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620277015
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1711620277468
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620277765
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1711620279702
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1711620279718
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1711620279718
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1711620280713
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1711620280722
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1711620280722
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1711620280722
